organization,brand,operating_brand,operator_status,operator_confidence,city,address,industry,stage,opportunity_type,score,vendor_readiness_score,vendor_readiness_tier,independent_signal_count,contactability_status,contact_utility_class,contact_utility_score,freshness_status,source_event_at,source_published_at,first_observed_live_at,first_actionable_live_at,last_meaningful_signal_at,cleaning_relevance_score,cleaning_lead_tier,official_website,business_phone,business_email,contact_page,timing_value,stage_confidence,signal_count,first_detected_at,first_actionable_at,first_operator_identified_at,first_contactable_at,last_signal_at,estimated_open_window,review_status,review_note,source_count,vendor_needs
#W221 GO GAMES AND CALENDARS,#W221 GO GAMES AND CALENDARS,#W221 GO GAMES AND CALENDARS,UNKNOWN,UNKNOWN,Salem,1 MALL RD,retail,STALE,new_location,55.3,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-09-08 00:00:00,,,,,22.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 15:39:39.256974,,,,2026-08-19 15:39:39.256974,,stale,Real Go Games relocation within the mall; historical and no longer early.,1,commercial_cleaning;commercial_insurance;internet
"#w255 G&D CUSTOM LLC NEW OCCUPANT--NO CONSTRUCTION CHANGE OF OCCUPANT, NO CONSTRUCTION. CUSTOM PRINTED T-SHIRT (CLOTHING) STORE. RETIAL USE2ND FLOOR, R/S, AFTER JC PENNY 1,000.00$ 100.00 $ GIRGIS ABDELNOUR ROCKSAL MALL LLC","#w255 G&D CUSTOM LLC NEW OCCUPANT--NO CONSTRUCTION CHANGE OF OCCUPANT, NO CONSTRUCTION. CUSTOM PRINTED T-SHIRT (CLOTHING) STORE. RETIAL USE2ND FLOOR, R/S, AFTER JC PENNY 1,000.00$ 100.00 $ GIRGIS ABDELNOUR ROCKSAL MALL LLC","#w255 G&D CUSTOM LLC NEW OCCUPANT--NO CONSTRUCTION CHANGE OF OCCUPANT, NO CONSTRUCTION. CUSTOM PRINTED T-SHIRT (CLOTHING) STORE. RETIAL USE2ND FLOOR, R/S, AFTER JC PENNY 1,000.00$ 100.00 $ GIRGIS ABDELNOUR ROCKSAL MALL LLC",UNKNOWN,UNKNOWN,Salem,1 MALL RD,other,STALE,new_location,55.3,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-09-09 00:00:00,,,,,14.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 15:39:39.282043,,,,2026-08-19 15:39:39.282043,,stale,Real G&D Custom retail occupancy event; historical and no longer early.,1,commercial_cleaning;commercial_insurance;internet
#E257 PERFUMANIA,#E257 PERFUMANIA,#E257 PERFUMANIA,UNKNOWN,UNKNOWN,Salem,1 MALL RD,retail,STALE,new_location,55.3,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-09-04 00:00:00,,,,,22.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 15:39:39.290294,,,,2026-08-19 15:39:39.290294,,stale,Real Perfumania tenant alteration in September 2025; historical and no longer an early sales window.,1,commercial_cleaning;commercial_insurance;internet
"SPIRIT HALLOWEEN, #5TEMPORARY EVENT NO CONSTRUCTION, TENANT FIT FOR HALLOWEEN STORE, NO STRUCTURAL CHANGES TO THE STRUCTURE OF THE BUILDING. MID AUGUST TO NOV 15, 2025. TEMP EVENT ONLY, NO CHANGES TO BUILDING OR SITE 1,000.00$ 100.00$ JESS PERNA ROCKINGHAM 620 INC","SPIRIT HALLOWEEN, #5TEMPORARY EVENT NO CONSTRUCTION, TENANT FIT FOR HALLOWEEN STORE, NO STRUCTURAL CHANGES TO THE STRUCTURE OF THE BUILDING. MID AUGUST TO NOV 15, 2025. TEMP EVENT ONLY, NO CHANGES TO BUILDING OR SITE 1,000.00$ 100.00$ JESS PERNA ROCKINGHAM 620 INC","SPIRIT HALLOWEEN, #5TEMPORARY EVENT NO CONSTRUCTION, TENANT FIT FOR HALLOWEEN STORE, NO STRUCTURAL CHANGES TO THE STRUCTURE OF THE BUILDING. MID AUGUST TO NOV 15, 2025. TEMP EVENT ONLY, NO CHANGES TO BUILDING OR SITE 1,000.00$ 100.00$ JESS PERNA ROCKINGHAM 620 INC",UNKNOWN,UNKNOWN,Salem,92CLUFF CROSSING RD,other,STALE,new_location,55.3,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-08-15 00:00:00,,,,,14.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 15:39:39.300019,,,,2026-08-19 15:39:39.300019,,false_positive,Temporary seasonal Spirit Halloween store is not a recurring new-business opportunity.,1,commercial_cleaning;commercial_insurance;internet
LULULEMON #E127,LULULEMON #E127,LULULEMON #E127,UNKNOWN,UNKNOWN,Salem,1 MALL RD,retail,STALE,new_location,55.3,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-07-31 00:00:00,,,,,22.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 15:39:39.308466,,,,2026-08-19 15:39:39.308466,,stale,Real Lululemon tenant fit-out; potentially valuable in real time but stale at backfill.,1,commercial_cleaning;commercial_insurance;internet
Unresolved commercial permit — 10 PARK AVE,Unresolved commercial permit — 10 PARK AVE,Unresolved commercial permit — 10 PARK AVE,UNKNOWN,UNKNOWN,Salem,10 PARK AVE,other,STALE,new_location,57.9,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-07-14 00:00:00,,,,,14.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 15:39:39.316883,,,,2026-08-19 15:39:39.316883,,false_positive,Residential ADU certificate admitted by the initial occupancy keyword rule.,1,commercial_cleaning;commercial_insurance;internet
W115- CAFFE NERO,W115- CAFFE NERO,W115- CAFFE NERO,UNKNOWN,UNKNOWN,Salem,1 MALL RD,other,STALE,new_location,55.3,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-07-18 00:00:00,,,,,14.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 15:39:39.323574,,,,2026-08-19 15:39:39.323574,,stale,Real Caffe Nero tenant fit-out; potentially valuable in real time but stale at backfill.,1,commercial_cleaning;commercial_insurance;internet
CASINO SALEM,CASINO SALEM,CASINO SALEM,UNKNOWN,UNKNOWN,Salem,1 MALL RD,entertainment,STALE,new_location,63.0,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-07-09 00:00:00,,,,,24.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 15:39:39.332361,,,,2026-08-19 15:39:39.332361,,stale,Real Casino Salem occupancy event; certificate of occupancy is a late-stage historical signal.,1,commercial_cleaning;commercial_insurance;internet
Unresolved commercial permit — 13SANDY BEACH RD,Unresolved commercial permit — 13SANDY BEACH RD,Unresolved commercial permit — 13SANDY BEACH RD,UNKNOWN,UNKNOWN,Salem,13SANDY BEACH RD,other,STALE,new_location,57.9,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-07-03 00:00:00,,,,,14.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 15:39:39.340933,,,,2026-08-19 15:39:39.340933,,false_positive,Residential replacement home certificate admitted by the initial occupancy keyword rule.,1,commercial_cleaning;commercial_insurance;internet
"FIVE BELOW, #E167A","FIVE BELOW, #E167A","FIVE BELOW, #E167A",UNKNOWN,UNKNOWN,Salem,1 MALL RD,retail,STALE,new_location,63.0,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-07-03 00:00:00,,,,,22.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 15:39:39.348413,,,,2026-08-19 15:39:39.348413,,stale,Real Five Below occupancy event; historical and no longer early.,1,commercial_cleaning;commercial_insurance;internet
SAL'S PIZZA,SAL'S PIZZA,SAL'S PIZZA,UNKNOWN,UNKNOWN,Salem,4 MALL RD,other,STALE,new_location,63.0,36.0,NOT_READY,2,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-06-17 00:00:00,,,,,20.0,NOT_RELEVANT,,,,,LOW,0.9,2,2026-08-19 15:39:39.355436,,,,2026-08-19 16:45:45.726656,,stale,Real Sal's Pizza occupancy event; historical and no longer early.,1,commercial_cleaning;commercial_insurance;internet
"DESIGNER PERFUME, E159A","DESIGNER PERFUME, E159A","DESIGNER PERFUME, E159A",UNKNOWN,UNKNOWN,Salem,1 MALL RD,retail,STALE,new_location,63.0,36.0,NOT_READY,2,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-06-25 00:00:00,,,,,28.0,NOT_RELEVANT,,,,,LOW,0.9,2,2026-08-19 15:39:39.362380,,,,2026-08-19 15:39:39.397660,,stale,Real Designer Perfume relocation/occupancy with two permit signals; historical.,1,commercial_cleaning;commercial_insurance;internet
MOBILE PK,MOBILE PK,MOBILE PK,UNKNOWN,UNKNOWN,Salem,36 POLICY LN,other,STALE,new_location,63.0,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-06-25 00:00:00,,,,,14.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 15:39:39.369322,,,,2026-08-19 15:39:39.369322,,false_positive,Residential replacement mobile home admitted by certificate-of-occupancy keyword.,1,commercial_cleaning;commercial_insurance;internet
DAIRY QUEEN #F218,DAIRY QUEEN #F218,DAIRY QUEEN #F218,UNKNOWN,UNKNOWN,Salem,1 MALL RD,restaurant,STALE,new_location,63.0,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-06-25 00:00:00,,,,,26.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 15:39:39.375676,,,,2026-08-19 15:39:39.375676,,stale,Real Dairy Queen occupancy event; historical and no longer early.,1,commercial_cleaning;commercial_insurance;internet
#17,#17,#17,UNKNOWN,UNKNOWN,Salem,17 COLES TR PK 29 LOWELL RD,other,STALE,new_location,63.0,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-06-23 00:00:00,,,,,14.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 15:39:39.383630,,,,2026-08-19 15:39:39.383630,,false_positive,Residential manufactured-home certificate admitted by the initial occupancy keyword rule.,1,commercial_cleaning;commercial_insurance;internet
"400 ARTISAN DR, #1000- SALT AND STRAW","400 ARTISAN DR, #1000- SALT AND STRAW","400 ARTISAN DR, #1000- SALT AND STRAW",UNKNOWN,UNKNOWN,Salem,17 TUSCAN BLVD,other,STALE,new_location,63.0,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-06-23 00:00:00,,,,,14.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 15:39:39.390517,,,,2026-08-19 15:39:39.390517,,stale,Real Salt & Straw occupancy event; historical and retrieved too late for outreach.,1,commercial_cleaning;commercial_insurance;internet
"Coral 516 Elm, LLC","Coral 516 Elm, LLC","Coral 516 Elm, LLC",UNKNOWN,UNKNOWN,Manchester,516 Elm Street,retail,PLANNING,major_renovation,60.8,30.8,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-06-04 00:00:00,,,,,32.0,NOT_RELEVANT,,,,,MEDIUM,0.72,1,2026-08-19 16:12:49.434322,,,,2026-08-19 16:12:49.434322,,uncertain,"Blind batch: real mixed-use redevelopment with 7,875 sq ft commercial space, but no operating tenant is identified.",1,commercial_cleaning;commercial_insurance;internet
"Raymond Spillane, LLC","Raymond Spillane, LLC",Quirk Commercial Trucks,KNOWN,CONFIRMED,Manchester,2060 Brown Avenue,automotive,PLANNING,major_renovation,81.7,88.9,A,2,CONTACTABLE,LOCAL_DIRECT,100,UPDATED,2026-06-04 00:00:00,2026-08-19 00:00:00,,,2026-08-19 16:13:32.529328,73.0,CLEANING_B,https://quirkcommercialtruckcentermanchester.com,+16032634937,,,MEDIUM,0.76,3,2026-08-19 16:12:49.447289,,2026-08-19 17:37:38.807103,2026-08-19 17:37:38.808349,2026-08-19 16:40:42.669751,,actionable,Blind batch: current addition of automotive sales to the existing Quirk warehouse/service center; operator is named in the official filing.,2,commercial_cleaning;commercial_insurance;internet
"4KV, LLC","4KV, LLC","4KV, LLC",UNKNOWN,UNKNOWN,Manchester,57 Bay Street,retail,PLANNING,major_renovation,58.4,30.8,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-05-07 00:00:00,,,,,32.0,NOT_RELEVANT,,,,,MEDIUM,0.72,1,2026-08-19 16:40:42.695404,,,,2026-08-19 16:40:42.695404,,false_positive,Parser assigned 4KV to the preceding 57 Bay Street cafe application; entity and address do not match.,1,commercial_cleaning;commercial_insurance;internet
"Formosa Investments, LLC","Formosa Investments, LLC","Formosa Investments, LLC",UNKNOWN,UNKNOWN,Manchester,22 Hazel Street,professional office,PLANNING,major_renovation,52.1,30.8,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-02-05 00:00:00,,,,,32.0,NOT_RELEVANT,,,,,MEDIUM,0.72,1,2026-08-19 16:40:42.710689,,,,2026-08-19 16:40:42.710689,,false_positive,Residential conversion of former office space is outside the commercial-opening opportunity scope.,1,commercial_cleaning;commercial_insurance;internet
The Healy Family Revocable Trust,The Healy Family Revocable Trust,The Healy Family Revocable Trust,UNKNOWN,UNKNOWN,Manchester,190 Zachary Road,warehouse/logistics,PLANNING,major_renovation,53.2,30.8,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-03-05 00:00:00,,,,,26.0,NOT_RELEVANT,,,,,MEDIUM,0.72,1,2026-08-19 16:40:42.720251,,,,2026-08-19 16:40:42.720251,,false_positive,Parser assigned the Healy trust to the preceding Zachary Road warehouse project.,1,commercial_cleaning;commercial_insurance;internet
"Hidden Oak Way, LLC","Hidden Oak Way, LLC","Hidden Oak Way, LLC",UNKNOWN,UNKNOWN,Manchester,177 E. Industrial Park Drive,professional office,PLANNING,major_renovation,52.1,30.8,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-02-05 00:00:00,,,,,32.0,NOT_RELEVANT,,,,,MEDIUM,0.72,1,2026-08-19 16:40:42.729548,,,,2026-08-19 16:40:42.729548,,false_positive,Parser assigned Hidden Oak Way to the preceding industrial project; the named Hidden Oak work is residential.,1,commercial_cleaning;commercial_insurance;internet
"Mumfor Propert ies, LLC","Mumfor Propert ies, LLC","Mumfor Propert ies, LLC",UNKNOWN,UNKNOWN,Manchester,118 Ash Street,other,PLANNING,major_renovation,67.1,30.8,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-08-19 00:00:00,,,,,24.0,NOT_RELEVANT,,,,,MEDIUM,0.72,1,2026-08-19 16:40:42.738620,,,,2026-08-19 16:40:42.738620,,duplicate,Duplicate of the normalized Mumfor Properties opportunity at 118 Ash Street caused by PDF text spacing.,1,commercial_cleaning;commercial_insurance;internet
continuance to 2/5/26,continuance to 2/5/26,continuance to 2/5/26,UNKNOWN,UNKNOWN,Manchester,157 Gay Street,other,PLANNING,major_renovation,67.1,30.8,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-08-19 00:00:00,,,,,24.0,NOT_RELEVANT,,,,,MEDIUM,0.72,1,2026-08-19 16:40:42.748501,,,,2026-08-19 16:40:42.748501,,false_positive,Project is real but organization extraction captured continuance text rather than Uni Uni Logistics/K4E.,1,commercial_cleaning;commercial_insurance;internet
"4KV, LLC","4KV, LLC","4KV, LLC",UNKNOWN,UNKNOWN,Manchester,15 High Street,retail,PLANNING,major_renovation,67.1,30.8,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-08-19 00:00:00,,,,,32.0,NOT_RELEVANT,,,,,MEDIUM,0.72,1,2026-08-19 16:40:42.755928,,,,2026-08-19 16:40:42.755928,,false_positive,Parser assigned 4KV to the preceding 15 High Street art-hub project; entity and address do not match.,1,commercial_cleaning;commercial_insurance;internet
"Mumfor Properties, LLC","Mumfor Properties, LLC","Mumfor Properties, LLC",UNKNOWN,UNKNOWN,Manchester,118 Ash Street,other,PLANNING,major_renovation,67.1,50.8,C,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-08-19 00:00:00,,,,,24.0,CLEANING_C,,,,,MEDIUM,0.72,1,2026-08-19 16:40:42.765867,,,,2026-08-19 16:40:42.765867,,actionable,Current official filing supports conversion of a B&B into a hotel with dining at an exact address.,1,commercial_cleaning;commercial_insurance;internet
Colbea Enterprises LLC,Colbea Enterprises LLC,Colbea Enterprises LLC,UNKNOWN,UNKNOWN,Portsmouth,1980 Woodbury Avenue,restaurant,STALE,major_renovation,49.1,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-01-15 00:00:00,,,,,26.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:42:05.580966,,,,2026-08-19 16:42:05.580966,,stale,Machine result is already stale and does not establish a current vendor-selection window.,1,commercial_cleaning;commercial_insurance;internet
"John Galt, LLC","John Galt, LLC","John Galt, LLC",UNKNOWN,UNKNOWN,Portsmouth,14 Market Square,professional office,PLANNING,major_renovation,64.1,50.8,C,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-08-19 00:00:00,,,,,32.0,CLEANING_C,,,,,MEDIUM,0.72,1,2026-08-19 16:42:05.619710,2026-08-19 16:42:05.619710,,,2026-08-19 16:42:05.619710,,actionable,Coliving conversion at an exact downtown address is a legitimate pre-opening hospitality-style project.,1,commercial_cleaning;commercial_insurance;internet
Ralph 1912 LLC,Ralph 1912 LLC,Ralph 1912 LLC,UNKNOWN,UNKNOWN,Portsmouth,175 Fleet Street,restaurant,STALE,major_renovation,49.1,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-01-15 00:00:00,,,,,26.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:42:05.633871,,,,2026-08-19 16:42:05.633871,,stale,Machine result is already stale and does not establish a current vendor-selection window.,1,commercial_cleaning;commercial_insurance;internet
PWED2 LLC,PWED2 LLC,PWED2 LLC,UNKNOWN,UNKNOWN,Portsmouth,921 Islington Street,restaurant,PLANNING,major_renovation,64.1,50.8,C,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-08-19 00:00:00,,,,,36.0,CLEANING_C,,,,,MEDIUM,0.72,1,2026-08-19 16:42:05.646694,2026-08-19 16:42:05.646694,,,2026-08-19 16:42:05.646694,,actionable,Official approval supports reconstruction of an existing building for restaurant use at an exact address.,1,commercial_cleaning;commercial_insurance;internet
Ryan Leibundgut,Ryan Leibundgut,Ryan Leibundgut,UNKNOWN,UNKNOWN,Portsmouth,137 Walker Bungalow Road,other,PLANNING,major_renovation,64.1,30.8,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-08-19 00:00:00,,,,,24.0,NOT_RELEVANT,,,,,MEDIUM,0.72,1,2026-08-19 16:42:05.660611,2026-08-19 16:42:05.660611,,,2026-08-19 16:42:05.660611,,false_positive,After-the-fact deck permit is residential; adjacent commercial agenda entries contaminated the extracted description.,1,commercial_cleaning;commercial_insurance;internet
361 Hanover Steam Factory LLC,361 Hanover Steam Factory LLC,361 Hanover Steam Factory LLC,UNKNOWN,UNKNOWN,Portsmouth,361 Hanover Street,other,PLANNING,major_renovation,64.1,30.8,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-08-19 00:00:00,,,,,24.0,NOT_RELEVANT,,,,,MEDIUM,0.72,1,2026-08-19 16:42:05.673963,2026-08-19 16:42:05.673963,,,2026-08-19 16:42:05.673963,,not_actionable,The current proposal is a purely residential housing redevelopment without first-floor commercial use.,1,commercial_cleaning;commercial_insurance;internet
The City of Portsmouth,The City of Portsmouth,The City of Portsmouth,UNKNOWN,UNKNOWN,Portsmouth,35 Sherburne Road,other,PLANNING,major_renovation,64.1,30.8,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-08-19 00:00:00,,,,,24.0,NOT_RELEVANT,,,,,MEDIUM,0.72,1,2026-08-19 16:42:05.685522,2026-08-19 16:42:05.685522,,,2026-08-19 16:42:05.685522,,false_positive,Municipal workforce-housing project is outside the commercial operating-business scope.,1,commercial_cleaning;commercial_insurance;internet
Gary B. Dodds Revocable Trust,Gary B. Dodds Revocable Trust,Gary B. Dodds Revocable Trust,UNKNOWN,UNKNOWN,Portsmouth,294 Lincoln Avenue,other,PLANNING,major_renovation,64.1,30.8,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-08-19 00:00:00,,,,,24.0,NOT_RELEVANT,,,,,MEDIUM,0.72,1,2026-08-19 16:42:05.699287,2026-08-19 16:42:05.699287,,,2026-08-19 16:42:05.699287,,false_positive,Residential garage work is outside commercial scope; adjacent agenda entries contaminated the extracted description.,1,commercial_cleaning;commercial_insurance;internet
SLF Realty Group LLC,SLF Realty Group LLC,SLF Realty Group LLC,UNKNOWN,UNKNOWN,Portsmouth,400 Spaulding Turnpike,automotive,PLANNING,major_renovation,64.1,30.8,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-08-19 00:00:00,,,,,32.0,NOT_RELEVANT,,,,,MEDIUM,0.72,1,2026-08-19 16:42:05.711937,2026-08-19 16:42:05.711937,,,2026-08-19 16:42:05.711937,,not_actionable,After-the-fact wetland/access amendment at an existing site is not a new operating-business sales event.,1,commercial_cleaning;commercial_insurance;internet
GIRI Portsmouth 505 Inc,GIRI Portsmouth 505 Inc,GIRI Portsmouth 505 Inc,UNKNOWN,UNKNOWN,Portsmouth,505 US Route 1 Bypass,automotive,PLANNING,major_renovation,64.1,30.8,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2026-08-19 00:00:00,,,,,32.0,NOT_RELEVANT,,,,,MEDIUM,0.72,1,2026-08-19 16:42:05.725999,2026-08-19 16:42:05.725999,,,2026-08-19 16:42:05.725999,,not_actionable,EV charger work at an existing hotel is legitimate but is not a new or relocating operating business lead for the tested vendor profiles.,1,commercial_cleaning;commercial_insurance;internet
AERIE/OFFLINE BY AERIE,AERIE/OFFLINE BY AERIE,AERIE/OFFLINE BY AERIE,UNKNOWN,UNKNOWN,Salem,1 MALL RD,retail,STALE,new_location,55.3,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-06-18 00:00:00,,,,,22.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:45.674769,,,,2026-08-19 16:45:45.674769,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
"1ST&2ND FLOOR, NORTHEAST ORTHOPEDIC","1ST&2ND FLOOR, NORTHEAST ORTHOPEDIC","1ST&2ND FLOOR, NORTHEAST ORTHOPEDIC",UNKNOWN,UNKNOWN,Salem,16 PELHAM RD,other,STALE,new_location,63.0,36.0,NOT_READY,2,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-06-18 00:00:00,,,,,20.0,NOT_RELEVANT,,,,,LOW,0.9,2,2026-08-19 16:45:45.713086,,,,2026-08-19 16:45:45.735627,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
63A & B,63A & B,63A & B,UNKNOWN,UNKNOWN,Salem,63 PELHAM RD,other,STALE,new_location,63.0,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-06-12 00:00:00,,,,,14.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:45.745614,,,,2026-08-19 16:45:45.745614,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
The CCS COMPANIES,The CCS COMPANIES,The CCS COMPANIES,UNKNOWN,UNKNOWN,Salem,9 NORTHEASTERN BLVD,professional office,STALE,new_location,63.0,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-06-09 00:00:00,,,,,22.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:45.759373,,,,2026-08-19 16:45:45.759373,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
"#9A, EM4 AUTO SALES","#9A, EM4 AUTO SALES","#9A, EM4 AUTO SALES",UNKNOWN,UNKNOWN,Salem,5 HAMPSHIRE ST,professional office,STALE,new_location,63.0,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-06-05 00:00:00,,,,,22.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:45.773176,,,,2026-08-19 16:45:45.773176,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
TAKKRA,TAKKRA,TAKKRA,UNKNOWN,UNKNOWN,Salem,1 MALL RD,retail,STALE,new_location,63.0,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-06-03 00:00:00,,,,,22.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:45.785688,,,,2026-08-19 16:45:45.785688,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
"BOOTY BY BRABANTS, 300 VIA TOSCANA #1010","BOOTY BY BRABANTS, 300 VIA TOSCANA #1010","BOOTY BY BRABANTS, 300 VIA TOSCANA #1010",UNKNOWN,UNKNOWN,Salem,17 TUSCAN BLVD,other,STALE,new_location,63.0,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-05-29 00:00:00,,,,,14.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:45.797672,,,,2026-08-19 16:45:45.797672,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
"TRAK 23, #W143","TRAK 23, #W143","TRAK 23, #W143",UNKNOWN,UNKNOWN,Salem,1 MALL RD,retail,STALE,new_location,63.0,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-05-22 00:00:00,,,,,22.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:45.810755,,,,2026-08-19 16:45:45.810755,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
EXTREME EPOXY SUPPLY,EXTREME EPOXY SUPPLY,EXTREME EPOXY SUPPLY,UNKNOWN,UNKNOWN,Salem,50 NORTHWESTERN DR,warehouse/logistics,STALE,new_location,63.0,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-05-22 00:00:00,,,,,16.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:45.823837,,,,2026-08-19 16:45:45.823837,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
Unresolved commercial permit — 1 MALL RD,Unresolved commercial permit — 1 MALL RD,Unresolved commercial permit — 1 MALL RD,UNKNOWN,UNKNOWN,Salem,1 MALL RD,retail,STALE,new_location,51.6,28.5,NOT_READY,1,NOT_CONTACTABLE,UNKNOWN,0,HISTORICAL,2025-05-22 00:00:00,,,,,22.0,NOT_RELEVANT,,,,,LOW,0.9,1,2026-08-19 16:45:45.846971,,,,2026-08-19 16:45:45.846971,,stale,Historical permit record; machine correctly classified the opportunity as stale.,1,commercial_cleaning;commercial_insurance;internet
